1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
8.0,3.0,1.0,satuki,2016,3090,530,160,150,6220,1730.0,1760.0,320.0,17680.0,6000.0,70390.0
3.0,2.0,4.0,satuki,2015,460,190,150,290,790,390.0,1130.0,860.0,1530.0,3110.0,12360.0
2.0,1.0,8.0,satuki,2014,510,190,150,470,920,390.0,1990.0,1250.0,1900.0,7690.0,33490.0
1.0,2.0,3.0,satuki,2013,370,140,150,140,840,360.0,320.0,330.0,1750.0,1210.0,5920.0
4.0,2.0,3.0,satuki,2012,710,210,160,200,1220,500.0,700.0,460.0,3190.0,2050.0,12620.0
4.0,1.0,8.0,satuki,2011,1080,300,130,550,1260,630.0,3840.0,1330.0,3740.0,9220.0,55450.0
1.0,6.0,11.0,satuki,2010,230,130,280,720,1260,540.0,1440.0,4080.0,1920.0,11410.0,35220.0
3.0,8.0,4.0,satuki,2009,610,280,1470,870,11940,3360.0,1570.0,10240.0,18390.0,67600.0,390930.0
7.0,6.0,1.0,satuki,2008,1710,430,380,150,10260,2590.0,1050.0,940.0,20300.0,11230.0,82750.0
7.0,15.0,2.0,satuki,2007,1730,590,2110,190,94630,20070.0,1190.0,8230.0,178340.0,205370.0,1623250.0
6.0,10.0,2.0,satuki,2006,1450,430,760,260,13980,3290.0,1380.0,3000.0,29670.0,34700.0,273310.0
1.0,12.0,3.0,satuki,2005,130,110,1030,220,5830,1840.0,280.0,7020.0,6100.0,14280.0,70780.0
1.0,2.0,3.0,satuki,2003,360,130,150,190,820,320.0,420.0,590.0,1480.0,1480.0,
15.0,8.0,1.0,satuki,2002,11590,1970,450,130,53090,10450.0,5050.0,1180.0,,,
1.0,3.0,2.0,satuki,2001,130,100,200,120,780,310.0,150.0,390.0,,,
2.0,1.0,13.0,satuki,2000,340,140,150,1250,720,350.0,4670.0,4190.0,,,
5.0,6.0,2.0,satuki,1999,1110,310,360,150,6730,,,,,,
2.0,3.0,1.0,satuki,1998,540,140,160,110,1710,,,,,,
11.0,10.0,12.0,satuki,1997,5180,1050,810,1220,51790,,,,,,
4.0,1.0,9.0,satuki,1996,610,190,150,690,910,,,,,,
3.0,4.0,11.0,satuki,1995,690,250,340,580,2810,,,,,,
1.0,5.0,6.0,haruten,2024,280,140,250,490,1070,400.0,1290.0,2470.0,1450.0,7750.0,23960.0
2.0,5.0,6.0,haruten,2023,430,160,370,400,4000,1040.0,1000.0,3110.0,5990.0,13570.0,65060.0
2.0,1.0,4.0,haruten,2022,490,180,120,260,520,270.0,950.0,500.0,1230.0,1580.0,6970.0
